Filename,Sequence #,Rotor,Actuation duration (s),Voltage (V),Phase diff (deg),Freq (Hz),Avg velocity (mm/s),Avg velocity (rpm),Avg velocity (rad/s),Average max torque (mN.m),Pmech (mW)
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_0deg_2.5V_1_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,0,70,0.353824176603803,0.11262573338382999,0.011794139220126766,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_0deg_2.5V_1_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,0,70,0.35914033363755177,0.11431791872417774,0.011971344454585059,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_0deg_2.5V_1_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,0,70,0.9496019660937609,0.3022676937472089,0.03165339886979203,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_0deg_2.5V_1_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,0,70,0.47648544567237433,0.15167002798020626,0.015882848189079143,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_0deg_2.5V_1_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,0,70,0.45539725108998047,0.14495744716286285,0.015179908369666015,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_10deg_2.5V_2_1_rot.csv,1,PMMA-6mm,1.2sec,2.5,10,70,0.2021311210026361,0.06434033412055114,0.006737704033421204,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_10deg_2.5V_2_2_rot.csv,2,PMMA-6mm,1.2sec,2.5,10,70,0.37896367859748914,0.12062788540215741,0.012632122619916305,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_10deg_2.5V_2_3_rot.csv,3,PMMA-6mm,1.2sec,2.5,10,70,0.37162555225349325,0.1182920872407978,0.012387518408449776,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_10deg_2.5V_2_4_rot.csv,4,PMMA-6mm,1.2sec,2.5,10,70,0.09199299627960052,0.029282280175465525,0.0030664332093200174,0.0,0.0
/run/media/jb/Ex_SSD/M-SCPA Project/Data/Camera/Data/S17_27-03-2023/s17_PMMA-6mm_1.2sec_70Hz_10deg_2.5V_2_5_rot.csv,5,PMMA-6mm,1.2sec,2.5,10,70,0.13510349140296002,0.04300477697150895,0.004503449713432001,0.0,0.0
